Length,Width,Thickness,Mass,Stress,BucklingLoad
40,9,0.9,0.850432628,158.16,4681.588428
40,7.5,0.3,0.257441925,95.372,144.49347
24,3,0.3,0.075361269,195.68,180.3819845
28,3,0.3,0.095310209,157.5,155.4819883
32,3,0.3,0.117168256,137.52,126.7512235
36,3,0.3,0.14093541,115.51,94.18969008
40,3,0.3,0.16661167,112.21,57.797388
24,4.5,0.3,0.092679093,200.15,270.5729767
28,4.5,0.3,0.116397907,157.37,233.2229825
32,4.5,0.3,0.142025827,134.73,190.1268353
36,4.5,0.3,0.169562855,115.16,141.2845351
40,4.5,0.3,0.199008989,96.877,86.696082
24,6,0.3,0.10787635,211.96,360.763969
28,6,0.3,0.135365038,163.1,310.9639766
32,6,0.3,0.164762832,132.82,253.502447
36,6,0.3,0.196069733,113.93,188.3793802
40,6,0.3,0.22928574,97.038,115.594776
24,7.5,0.3,0.120953041,207.81,450.9549612
28,7.5,0.3,0.152211602,163.51,388.7049708
32,7.5,0.3,0.18537927,133.43,316.8780588
36,7.5,0.3,0.220456044,111.35,235.4742252
40,7.5,0.3,0.257441925,95.372,144.49347
24,9,0.3,0.131909164,203.31,541.1459534
28,9,0.3,0.166937599,159.78,466.445965
32,9,0.3,0.20387514,133.28,380.2536706
36,9,0.3,0.242721788,111.16,282.5690702
40,9,0.3,0.283477543,97.211,173.392164
24,3,0.45,0.113041903,234,608.7891976
28,3,0.45,0.142965314,181.64,524.7517106
32,3,0.45,0.175752384,152.69,427.7853794
36,3,0.45,0.211403115,121.15,317.890204
40,3,0.45,0.249917505,109.41,195.0661845
24,4.5,0.45,0.139018639,233.49,913.1837964
28,4.5,0.45,0.17459686,179.33,787.1275659
32,4.5,0.45,0.213038741,150.77,641.6780691
36,4.5,0.45,0.254344282,124.84,476.835306
40,4.5,0.45,0.298513483,103.04,292.5992768
24,6,0.45,0.161814525,253.92,1217.578395
28,6,0.45,0.203047557,185.62,1049.503421
32,6,0.45,0.247144248,147.94,855.5707588
36,6,0.45,0.294104599,124.97,635.780408
40,6,0.45,0.34392861,102.3,390.132369
24,7.5,0.45,0.181429561,257.47,1521.972994
28,7.5,0.45,0.228317403,192.72,1311.879276
32,7.5,0.45,0.278068904,151.71,1069.463448
36,7.5,0.45,0.330684066,122.09,794.7255101
40,7.5,0.45,0.386162887,102,487.6654613
24,9,0.45,0.197863746,262.9,1826.367593
28,9,0.45,0.250406398,191.52,1574.255132
32,9,0.45,0.30581271,152.41,1283.356138
36,9,0.45,0.364082682,124.5,953.6706121
40,9,0.45,0.425216314,104.4,585.1985535
24,3,0.6,0.150722538,296.53,1443.055876
28,3,0.6,0.190620418,222.74,1243.855907
32,3,0.6,0.234336512,176.45,1014.009788
36,3,0.6,0.281870819,145.89,753.5175206
40,3,0.6,0.33322334,121.76,462.379104
24,4.5,0.6,0.185358186,298.45,2164.583814
28,4.5,0.6,0.232795814,219.28,1865.78386
32,4.5,0.6,0.284051655,172.79,1521.014682
36,4.5,0.6,0.339125709,141.08,1130.276281
40,4.5,0.6,0.398017977,117.33,693.568656
24,6,0.6,0.215752701,303.26,2886.111752
28,6,0.6,0.270730076,223.84,2487.711813
32,6,0.6,0.329525664,175.39,2028.019576
36,6,0.6,0.392139465,141.07,1507.035041
40,6,0.6,0.45857148,116.73,924.758208
24,7.5,0.6,0.241906081,313.08,3607.63969
28,7.5,0.6,0.304423204,232.92,3109.639766
32,7.5,0.6,0.370758539,180.76,2535.02447
36,7.5,0.6,0.440912088,145.68,1883.793802
40,7.5,0.6,0.51488385,118.99,1155.94776
24,9,0.6,0.263818328,347.48,4329.167628
28,9,0.6,0.333875198,231.49,3731.56772
32,9,0.6,0.40775028,179.71,3042.029364
36,9,0.6,0.485443576,147.05,2260.552562
40,9,0.6,0.566955085,119.44,1387.137312
24,3,0.75,0.188403172,379.25,2818.468508
28,3,0.75,0.238275523,283.68,2429.406068
32,3,0.75,0.29292064,222.46,1980.487868
36,3,0.75,0.352338524,175.61,1471.713908
40,3,0.75,0.416529175,149.3,903.0841875
24,4.5,0.75,0.231697732,361.18,4227.702761
28,4.5,0.75,0.290994767,269.12,3644.109101
32,4.5,0.75,0.355064569,211.31,2970.731801
36,4.5,0.75,0.423907137,173.26,2207.570861
40,4.5,0.75,0.497522471,142.42,1354.626281
24,6,0.75,0.269690876,357.95,5636.937015
28,6,0.75,0.338412594,267.23,4858.812135
32,6,0.75,0.41190708,207.43,3960.975735
36,6,0.75,0.490174332,164.39,2943.427815
40,6,0.75,0.57321435,136.36,1806.168375
24,7.5,0.75,0.302382602,379.16,7046.171269
28,7.5,0.75,0.380529004,273.26,6073.515169
32,7.5,0.75,0.463448174,206.64,4951.219669
36,7.5,0.75,0.55114011,167.43,3679.284769
40,7.5,0.75,0.643604812,136.46,2257.710469
24,9,0.75,0.329772911,427.39,8455.405523
28,9,0.75,0.417343997,289.84,7288.218203
32,9,0.75,0.50968785,224.11,5941.463603
36,9,0.75,0.60680447,167.73,4415.141723
40,9,0.75,0.708693857,137.22,2709.252563
24,3,0.9,0.226083806,459.2,4870.313581
28,3,0.9,0.285930627,352.85,4198.013685
32,3,0.9,0.351504768,277.74,3422.283035
36,3,0.9,0.422806229,223.43,2543.121632
40,3,0.9,0.49983501,176.28,1560.529476
24,4.5,0.9,0.278037279,444.07,7305.470371
28,4.5,0.9,0.349193721,327.2,6297.020527
32,4.5,0.9,0.426077482,251.58,5133.424553
36,4.5,0.9,0.508688564,204.57,3814.682448
40,4.5,0.9,0.597026966,169.53,2340.794214
24,6,0.9,0.323629051,436.46,9740.627162
28,6,0.9,0.406095113,319.85,8396.027369
32,6,0.9,0.494288496,242.62,6844.56607
36,6,0.9,0.588209198,193.02,5086.243264
40,6,0.9,0.68785722,157.62,3121.058952
24,7.5,0.9,0.362859122,443.54,12175.78395
28,7.5,0.9,0.456634805,318.45,10495.03421
32,7.5,0.9,0.556137808,241.73,8555.707588
36,7.5,0.9,0.661368132,201.47,6357.80408
40,7.5,0.9,0.772325775,158.91,3901.32369
24,9,0.9,0.395727493,511.23,14610.94074
28,9,0.9,0.500812797,357.62,12594.04105
32,9,0.9,0.61162542,255.46,10266.84911
36,9,0.9,0.728165364,195.66,7629.364896
40,9,0.9,0.850432628,158.16,4681.588428
